Rk,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
320,Matt Stajan\stajama01,33,C,CGY,81,6,17,23,3,40,1.6,6,0,0,3,15,0,2,59,10.2,1027,12:41,39,60,385,383,50.1
321,Jack Johnson\johnsja02,30,D,CBJ,82,5,18,23,23,32,6.3,4,1,0,1,16,1,1,116,4.3,1789,21:49,134,94,1,0,100.0
322,Mattias Ekholm\ekholma01,26,D,NSH,82,3,20,23,4,34,4.6,3,0,0,1,16,3,1,120,2.5,1924,23:28,108,61,0,0,
323,John Moore\moorejo01,26,D,NJD,63,12,10,22,-7,39,4.8,11,1,0,1,8,2,0,102,11.8,1196,18:59,61,68,0,0,
324,Melker Karlsson\karlsme01,26,C,SJS,67,11,11,22,7,22,2.6,9,0,2,1,11,0,0,73,15.1,858,12:48,59,67,1,5,16.7
325,Tomas Hertl\hertlto01,23,C,SJS,49,10,12,22,-8,14,1.9,9,1,0,4,11,1,0,100,10.0,844,17:13,42,76,245,229,51.7
326,Jori Lehtera\lehtejo01,29,C,STL,64,7,15,22,-6,34,1.4,7,0,0,1,12,3,0,67,10.4,971,15:11,29,64,409,423,49.2
327,Nic Dowd\dowdni01,26,C,LAK,70,6,16,22,-15,25,1.3,5,1,0,2,9,7,0,78,7.7,872,12:27,35,145,338,369,47.8
328,Carl Hagelin\hagelca01,28,LW,PIT,61,6,16,22,10,16,1.5,6,0,0,2,15,0,1,128,4.7,945,15:29,24,66,3,3,50.0
329,Dennis Seidenberg\seidede01,35,D,NYI,73,5,17,22,25,32,5.8,5,0,0,0,17,0,0,89,5.6,1418,19:26,146,154,0,0,
330,Anton Stralman\stralan01,30,D,TBL,73,5,17,22,1,20,4.8,4,1,0,0,11,6,0,130,3.8,1672,22:54,96,106,0,0,
331,Brendan Perlini\perlibr01,20,LW,ARI,57,14,7,21,-4,20,2.3,11,3,0,2,5,2,0,92,15.2,846,14:50,15,42,1,1,50.0
332,Chris Stewart\stewach02,29,RW,MIN,79,13,8,21,3,94,2.3,13,0,0,0,6,2,0,82,15.9,821,10:23,19,85,2,9,18.2
333,Aaron Ekblad\ekblaaa01,20,D,FLA,68,10,11,21,-23,58,3.4,5,4,1,2,7,4,0,225,4.4,1459,21:28,62,88,0,0,
334,Marian Gaborik\gaborma01,34,RW,LAK,56,10,11,21,-4,18,2.2,7,3,0,3,9,2,0,123,8.1,828,14:47,15,21,0,1,0.0
335,Drew Stafford\staffdr01,31,RW,TOT,58,8,13,21,6,24,2.1,5,3,0,3,12,1,0,109,7.3,789,13:36,3,62,7,15,31.8
336,Justin Abdelkader\abdelju01,29,LW,DET,64,7,14,21,-20,50,0.7,2,5,0,1,11,2,1,104,6.7,1066,16:40,27,144,5,12,29.4
337,Alexander Edler\edleral01,30,D,VAN,68,6,15,21,-20,36,3.6,4,2,0,0,13,2,0,138,4.3,1653,24:19,138,106,2,1,66.7
338,Jesper Fast\fastje01,25,RW,NYR,68,6,15,21,6,16,1.5,6,0,0,1,15,0,0,56,10.7,938,13:48,44,99,17,27,38.6
339,Steven Stamkos\stamkst01,26,C,TBL,17,9,11,20,3,14,2.8,6,3,0,1,7,4,0,58,15.5,304,17:52,3,21,106,92,53.5
340,Pavel Buchnevich\buchnpa01,21,RW,NYR,41,8,12,20,6,13,2.3,7,1,0,0,10,2,0,55,14.5,544,13:16,8,17,1,6,14.3
341,Blake Comeau\comeabl01,30,LW,COL,77,8,12,20,-19,58,0.7,5,2,1,1,12,0,0,103,7.8,1154,14:59,22,129,114,132,46.3
