Shot #,Player,TEAM,Opponent,Date,Art x,Art y,Outcome,Assist,Type,Play,State,Angle,Distance,x,y
75,Rowe,NE,HOU,42435,4.5,19,0,cross,header,set-piece,1,25.3058517,7.66093989,4.5,31
76,Davies,NE,HOU,42435,9.8,31.3,0,pass,right,open,-1,21.56049503,11.54339638,9.8,18.7
77,Davies,NE,HOU,42435,9,32.1,1,self,right,open,-1,20.57870969,11.3406349,9,17.9
78,Bunbury,NE,HOU,42435,1.9,22.5,0,pass,right,open,0,72.57995882,3.301514804,1.9,27.5
79,Tierney,NE,HOU,42435,1.2,30.7,0,pass,left,open,0,12.93453735,5.629387178,1.2,19.3
80,Kobayashi,NE,HOU,42435,7.4,22.3,1,cross,header,open,-1,34.83663227,7.947955712,7.4,27.7
81,Wenger,HOU,NE,42435,10,18.1,0,cross,header,open,-1,20.26349448,12.26417547,10,31.9
82,Maidana,HOU,NE,42435,6,25.2,1,self,right,open,-1,46.81830296,6,6,24.8
83,Wenger,HOU,NE,42435,7.5,21.4,1,pass,left,open,0,31.98476135,8.407734534,7.5,28.6
84,Barnes,HOU,NE,42435,18.4,29,1,pass,right,open,0,15.38161155,18.78829423,18.4,21
85,Manotas,HOU,NE,42435,18.5,14.7,0,pass,right,open,1,12.29008928,21.27204739,18.5,35.3
86,Martinez,RSL,OCSC,42435,2.4,17.9,0,self,left,open,0,14.17531062,7.684399781,2.4,32.1
88,Olave,RSL,OCSC,42435,12.9,20.9,0,cross,header,set-piece,1,20.81394056,13.59779394,12.9,29.1
89,Plata,RSL,OCSC,42435,4.6,29.4,1,cross,right,open,1,35.31874691,6.228964601,4.6,20.6
90,Hines,OCSC,RSL,42435,3.6,28.6,0,cross,header,set-piece,0,44.33450345,4.951767361,3.6,21.4
91,Molino,OCSC,RSL,42435,10.3,17.2,0,pass,right,open,0,18.48966232,13.0418557,10.3,32.8
92,Shea,OCSC,RSL,42435,18.2,14.2,0,self,left,set-piece,0,12.10894886,21.2659352,18.2,35.8
93,Larin,OCSC,RSL,42435,8.3,25.5,0,cross,header,set-piece,0,34.67891134,8.305419917,8.3,24.5
94,Ribeiro,OCSC,RSL,42435,6.6,30.9,0,cross,left,open,-2,25.60666099,8.720665112,6.6,19.1
